"month","sum","Subtype"
2010-01-01,11,"H1N1"
2010-02-01,4,"H1N1"
2010-03-01,2,"H1N1"
2010-04-01,1,"H1N1"
2010-06-01,1,"H1N1"
2010-12-01,12,"H1N1"
2011-01-01,12,"H1N1"
2011-02-01,3,"H1N1"
2012-01-01,2,"H1N1"
2012-02-01,3,"H1N1"
2012-03-01,3,"H1N1"
2012-08-01,1,"H1N1"
2012-11-01,2,"H1N1"
2012-12-01,9,"H1N1"
2013-01-01,5,"H1N1"
2013-11-01,1,"H1N1"
2014-01-01,3,"H1N1"
2014-02-01,8,"H1N1"
2014-10-01,3,"H1N1"
2014-11-01,2,"H1N1"
2014-12-01,7,"H1N1"
2015-01-01,4,"H1N1"
2015-10-01,4,"H1N1"
2015-11-01,19,"H1N1"
2015-12-01,34,"H1N1"
2016-01-01,59,"H1N1"
2016-02-01,64,"H1N1"
2016-03-01,49,"H1N1"
2016-04-01,7,"H1N1"
2017-01-01,9,"H1N1"
2017-02-01,4,"H1N1"
2017-04-01,1,"H1N1"
2017-10-01,1,"H1N1"
2017-11-01,8,"H1N1"
2017-12-01,22,"H1N1"
2018-01-01,26,"H1N1"
2018-02-01,12,"H1N1"
2018-03-01,17,"H1N1"
2018-04-01,9,"H1N1"
2018-08-01,1,"H1N1"
2018-11-01,10,"H1N1"
2018-12-01,13,"H1N1"
2019-01-01,50,"H1N1"
2019-02-01,37,"H1N1"
2019-03-01,23,"H1N1"
2019-04-01,9,"H1N1"
2019-07-01,1,"H1N1"
2019-10-01,3,"H1N1"
2019-11-01,13,"H1N1"
2019-12-01,24,"H1N1"
2020-01-01,90,"H1N1"
2020-02-01,72,"H1N1"
2020-03-01,23,"H1N1"
2010-01-01,3,"H3N2"
2010-09-01,1,"H3N2"
2010-10-01,7,"H3N2"
2010-12-01,8,"H3N2"
2011-01-01,4,"H3N2"
2011-02-01,2,"H3N2"
2011-03-01,1,"H3N2"
2011-07-01,1,"H3N2"
2011-11-01,2,"H3N2"
2011-12-01,11,"H3N2"
2012-01-01,20,"H3N2"
2012-02-01,18,"H3N2"
2012-03-01,6,"H3N2"
2012-04-01,3,"H3N2"
2012-08-01,1,"H3N2"
2012-10-01,2,"H3N2"
2012-11-01,7,"H3N2"
2012-12-01,14,"H3N2"
2013-01-01,9,"H3N2"
2013-02-01,3,"H3N2"
2013-11-01,2,"H3N2"
2013-12-01,3,"H3N2"
2014-01-01,14,"H3N2"
2014-02-01,5,"H3N2"
2014-04-01,2,"H3N2"
2014-05-01,4,"H3N2"
2014-10-01,1,"H3N2"
2014-11-01,5,"H3N2"
2014-12-01,23,"H3N2"
2015-01-01,51,"H3N2"
2015-02-01,12,"H3N2"
2015-03-01,2,"H3N2"
2015-11-01,4,"H3N2"
2015-12-01,5,"H3N2"
2016-01-01,11,"H3N2"
2016-02-01,7,"H3N2"
2016-03-01,8,"H3N2"
2016-04-01,1,"H3N2"
2016-10-01,2,"H3N2"
2016-11-01,15,"H3N2"
2016-12-01,69,"H3N2"
2017-01-01,137,"H3N2"
2017-02-01,74,"H3N2"
2017-03-01,44,"H3N2"
2017-04-01,4,"H3N2"
2017-08-01,1,"H3N2"
2017-09-01,1,"H3N2"
2017-10-01,1,"H3N2"
2017-11-01,5,"H3N2"
2017-12-01,9,"H3N2"
2018-01-01,24,"H3N2"
2018-02-01,21,"H3N2"
2018-03-01,24,"H3N2"
2018-04-01,5,"H3N2"
2018-05-01,1,"H3N2"
2018-10-01,2,"H3N2"
2018-11-01,8,"H3N2"
2018-12-01,13,"H3N2"
2019-01-01,43,"H3N2"
2019-02-01,84,"H3N2"
2019-03-01,66,"H3N2"
2019-04-01,30,"H3N2"
2019-09-01,1,"H3N2"
2019-10-01,7,"H3N2"
2019-11-01,5,"H3N2"
2019-12-01,15,"H3N2"
2020-01-01,69,"H3N2"
2020-02-01,72,"H3N2"
2020-03-01,30,"H3N2"
