"month","H1N","H3N"
2012.75,45,44
2012.83333333333,98,39
2012.91666666667,1643,246
2013,10485,524
2013.08333333333,4543,444
2013.16666666667,800,279
2013.25,161,108
2013.33333333333,13,14
2013.41666666667,NA,NA
2013.5,NA,NA
2013.58333333333,0,0
2013.66666666667,0,4
2013.75,4,9
2013.83333333333,17,8
2013.91666666667,2522,188
2014,458,98
2014.08333333333,1612,217
2014.16666666667,2010,433
2014.25,521,230
2014.33333333333,53,120
2014.41666666667,NA,NA
2014.5,NA,NA
2014.58333333333,NA,NA
2014.66666666667,1,1
2014.75,6,3
2014.83333333333,15,30
2014.91666666667,35,234
2015,515,2293
2015.08333333333,3349,6435
2015.16666666667,1579,2637
2015.25,148,271
2015.33333333333,22,41
2015.41666666667,NA,NA
2015.5,NA,NA
2015.58333333333,NA,NA
2015.66666666667,2,2
2015.75,10,3
2015.83333333333,175,28
2015.91666666667,573,223
2016,2508,57
2016.08333333333,7805,154
2016.16666666667,2231,98
2016.25,215,45
2016.33333333333,20,14
2016.41666666667,NA,NA
2016.5,NA,NA
2016.58333333333,NA,NA
2016.66666666667,NA,NA
2016.75,4,80
2016.83333333333,17,697
2016.91666666667,13,6032
2017,49,7932
2017.08333333333,33,2547
2017.16666666667,15,883
2017.25,9,121
2017.33333333333,6,24
2017.41666666667,NA,NA
2017.5,NA,NA
2017.58333333333,NA,NA
2017.66666666667,NA,NA
2017.75,7,32
2017.83333333333,21,104
2017.91666666667,170,565
2018,994,3276
2018.08333333333,1784,4063
2018.16666666667,996,2785
2018.25,329,736
2018.33333333333,11,12
2018.41666666667,NA,NA
2018.5,NA,NA
2018.58333333333,NA,NA
2018.66666666667,NA,NA
2018.75,21,19
2018.83333333333,93,32
2018.91666666667,395,114
2019,3091,796
2019.08333333333,6021,2633
2019.16666666667,1314,1301
2019.25,148,445
2019.33333333333,12,35
2019.41666666667,NA,NA
2019.5,NA,NA
2019.58333333333,NA,NA
2019.66666666667,2,2
